iter	RMSE
0	0.4138944036
1	0.4111488657
2	0.4085908979
3	0.4061263155
4	0.4037640254
5	0.401376468
6	0.3992493505
7	0.3970771775
8	0.3950772692
9	0.3932351095
10	0.3914943467
11	0.3897883322
12	0.3881845324
13	0.386606625
14	0.3851142208
15	0.3836977423
16	0.3823509767
17	0.3810475169
18	0.3798331193
19	0.3786574931
20	0.3775298723
21	0.3763961874
22	0.3753342345
23	0.3743498412
24	0.3734357087
25	0.3725642346
26	0.371706189
27	0.3708892929
28	0.3701035093
29	0.3693532642
30	0.3686189581
31	0.3679058608
32	0.3672214834
33	0.3665698
34	0.365991849
35	0.3654388923
36	0.3648621355
37	0.3643337787
38	0.363832353
39	0.3633659065
40	0.3629064232
41	0.3624655981
42	0.36206021
43	0.3616885897
44	0.3612830594
45	0.3609027369
46	0.3605673933
47	0.3602309124
48	0.3599165869
49	0.3595762326
50	0.3592890414
51	0.3589797979
52	0.3587018187
53	0.358419802
54	0.3581304746
55	0.3578540189
56	0.357604723
57	0.3573675727
58	0.3571531888
59	0.356917399
60	0.3567044941
61	0.3564973921
62	0.3563025996
63	0.3561060772
64	0.3559037145
65	0.3557345499
66	0.3555668973
67	0.3553945477
68	0.3552463509
69	0.3550918311
70	0.3549272914
