iter	Passed	Remaining
0	288	346194
1	408	244837
2	522	208667
3	606	181475
4	687	164210
5	768	152972
6	849	144751
7	909	135522
8	983	130152
9	1058	125911
10	1128	121969
11	1201	118910
12	1268	115868
13	1360	115237
14	1434	113313
15	1523	112744
16	1610	112106
17	1701	111732
18	1776	110395
19	1867	110182
20	1945	109243
21	2014	107854
22	2089	106919
23	2169	106301
24	2240	105281
25	2312	104428
26	2383	103535
27	2455	102772
28	2540	102599
29	2620	102204
30	2707	102083
31	2784	101639
32	2857	101054
33	2924	100299
34	3005	100039
35	3090	99925
36	3167	99569
37	3244	99200
38	3320	98854
39	3391	98345
40	3460	97811
41	3571	98476
42	3638	97894
43	3711	97520
44	3788	97245
45	3869	97078
46	3946	96820
47	4012	96289
48	4073	95687
49	4132	95053
50	4199	94603
51	4264	94138
52	4351	94164
53	4423	93871
54	4497	93634
55	4579	93549
56	4648	93218
57	4744	93414
58	4814	93102
59	4903	93160
60	4996	93296
61	5098	93589
62	5173	93363
63	5262	93410
64	5334	93150
65	5391	92632
66	5450	92174
67	5521	91918
68	5587	91590
69	5655	91303
70	5737	91240
